link,year,disambiguation,length,pageviews,revisions,title,score
Emperor_Huizong_of_Song,1082,False,100240,3921,246,徽宗,0.6323626784889452
Louis_VI_of_France,1081,False,80086,598,85,ルイ6世 (フランス王),0.5263377907007527
John_II_Komnenos,1087,False,83100,394,102,ヨハネス2世コムネノス,0.5211358529675143
David_I_of_Scotland,1084,False,82625,258,68,デイヴィッド1世 (スコットランド王),0.48828517835412844
Urraca_of_Castile,1082,False,85252,244,64,ウラカ (カスティーリャ女王),0.4838145570776376
Han_Shizhong,1089,False,38665,1339,31,韓世忠,0.4827660910755961
1081,1086,False,60047,187,72,1081年,0.47608572370791424
Anna_Komnene,1083,False,41241,274,54,アンナ・コムネナ,0.47332768391965846
Bolesław_III_Wrymouth,1086,False,75701,142,42,ボレスワフ3世クシヴォウスティ,0.44359670645556876
Li_Qingzhao,1084,False,41273,229,33,李清照,0.44268454247914374
Ramiro_II_of_Aragon,1086,False,63475,141,37,ラミロ2世 (アラゴン王),0.4359104230006503
Abbot_Suger,1081,False,37043,176,30,シュジェール,0.42849840038383763
Dahui_Zonggao,1089,False,50173,255,21,大慧宗杲,0.42056171862887065
Irene_of_Hungary,1088,False,36705,101,35,ピロシュカ,0.4169668201909221
"Teresa_of_León,_Countess_of_Portugal",1080,False,39043,100,24,テレサ・デ・レオン,0.3983256136777823
Empress_Wang_(Huizong),1084,False,27553,176,10,顕恭皇后,0.35457244929006815
Zhang_Zeduan,1085,,1,1,1,?,0.05448825167540282
"Raoul_I,_Count_of_Vermandois",1085,,1,1,1,?,0.05448825167540282
Robert_fitz_Martin,1085,,1,1,1,?,0.05448825167540282
Adolf_III_of_Berg,1080,,1,1,1,?,0.05448825167540282
Florine_of_Burgundy,1083,,1,1,1,?,0.05448825167540282
Alberich_of_Reims,1085,,1,1,1,?,0.05448825167540282
