year,name,image
1932,Grand Hotel,https://upload.wikimedia.org/wikipedia/commons/d/d6/GrandHotelFilmPoster.jpg
1933,Victor and Victoria,https://upload.wikimedia.org/wikipedia/en/4/4d/Victor_and_Victoria_%281933_film%29.jpg
1933,King Kong,https://i.ebayimg.com/images/g/JNwAAOSw9~NglKnm/s-l1600.jpg
1934,Twentieth Century,https://upload.wikimedia.org/wikipedia/commons/4/42/Twentieth_Century_%281934_film_poster%29.jpg
1936,Reefer Madness,https://upload.wikimedia.org/wikipedia/commons/3/37/Reefer_Madness_%281936%29.jpg
1938,The Baker's Wife,https://upload.wikimedia.org/wikipedia/en/0/0f/Baker%27s_Wife_Film.jpg
1940,The Philadelphia Story,https://upload.wikimedia.org/wikipedia/commons/5/54/The-Philadelphia-Story-%281940%29.jpg
1950,Sunset Boulevard,https://upload.wikimedia.org/wikipedia/commons/1/14/Sunset_Boulevard_%281950_poster%29.jpg
1950,All About Eve,https://upload.wikimedia.org/wikipedia/commons/a/a7/All_About_Eve_%281950_poster_-_retouch%29.jpg
1955,Smiles of a Summer Night,https://upload.wikimedia.org/wikipedia/en/c/c9/Smilessummernight.jpg
1956,Forbidden Planet,https://upload.wikimedia.org/wikipedia/commons/5/50/Forbiddenplanetposter.jpg
1957,Nights of Cabiria,https://upload.wikimedia.org/wikipedia/en/0/02/Nights_of_Cabiria_Poster.jpg
1957,Sweet Smell of Success,https://upload.wikimedia.org/wikipedia/commons/5/57/Sweet_Smell_of_Success_%281957_poster%29.jpg
1958,Big Deal on Madonna Street,https://upload.wikimedia.org/wikipedia/en/6/67/SolitiIgnotiposter.jpg
1959,Some Like it Hot,https://upload.wikimedia.org/wikipedia/commons/b/b8/Some_Like_It_Hot_%281959_poster%29.png
1960,The Little Shop of Horrors,https://upload.wikimedia.org/wikipedia/en/7/78/LittleShop.jpg
1960,The Apartment,https://upload.wikimedia.org/wikipedia/commons/8/8b/The_Apartment_%281960_poster%29.jpg
1961,Whistle Down the Wind,https://upload.wikimedia.org/wikipedia/en/8/88/Whistle_Down_the_Wind_poster.jpg
1962,The Exterminating Angel,https://upload.wikimedia.org/wikipedia/en/7/7e/The_Exterminating_Angel_%28film%29.jpg
1962,Days of Wine and Roses,https://upload.wikimedia.org/wikipedia/commons/2/22/Days_of_Wine_and_Roses_%281962_poster%29.jpg
1963,8½,https://upload.wikimedia.org/wikipedia/en/4/46/8Mezzo.jpg
1965,Shenandoah,https://upload.wikimedia.org/wikipedia/en/9/9e/Shenandoah_1965_poster.jpg
1967,The Producers,"https://m.media-amazon.com/images/I/819vCUFHZCL._AC_UF894,1000_QL80_.jpg"
1967,The Fearless Vampire Killers,https://upload.wikimedia.org/wikipedia/en/9/9e/Fearlessvampirekillersposter.jpg
1972,The Discreet Charm of the Bourgeoisie,https://upload.wikimedia.org/wikipedia/en/d/d3/Discreet-charm-poster.jpg
1974,Young Frankenstein,https://upload.wikimedia.org/wikipedia/en/b/b5/Young_Frankenstein_movie_poster.jpg
1975,Monty Python and the Holy Grail,https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg
1975,Grey Gardens,https://upload.wikimedia.org/wikipedia/commons/7/7e/Grey_Gardens_%281976_poster%29.jpg
1976,Carrie,https://upload.wikimedia.org/wikipedia/en/d/d7/Carrieposter.jpg
1976,Rocky,https://upload.wikimedia.org/wikipedia/en/1/18/Rocky_poster.jpg
1977,The Goodbye Girl,https://upload.wikimedia.org/wikipedia/en/c/c9/Goodbye_Girl_movie_poster.jpg
1978,La Cage aux Folles,https://upload.wikimedia.org/wikipedia/en/e/ea/Cage-aux-folles-la-french-movie-poster-md.jpg
1978,Debbie Does Dallas,https://upload.wikimedia.org/wikipedia/commons/0/00/Debbiedoesdallas.jpg
1980,9 to 5,https://upload.wikimedia.org/wikipedia/en/e/e0/9_to_5_moviep.jpg
1980,Urban Cowboy,https://upload.wikimedia.org/wikipedia/en/6/6b/Urban_cowboy_Poster.jpg
1981,Passion of Love,https://upload.wikimedia.org/wikipedia/en/a/a8/Passion_damour_sm.jpg
1981,The Evil Dead,https://upload.wikimedia.org/wikipedia/en/7/7d/Evil_dead_ver1.jpg
1982,Tootsie,https://upload.wikimedia.org/wikipedia/en/a/a2/Tootsie_imp.jpg
1982,The Return of Martin Guerre,https://upload.wikimedia.org/wikipedia/en/e/e2/Le_retour_de_Martin_Guerre.jpg
