"Title","Monthly ranking of women in national parliaments","","","","","","","",""
"Reference period","November 2024","","","","","","","",""
"Structure","-","","","","","","","",""
"Region","Any","","","","","","","",""
"Publisher","Inter-Parliamentary Union","","","","","","","",""
"Copyright and attribution","Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","","","","","","","",""
"Licence","This work is licensed under Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International 

https://creativecommons.org/licenses/by-nc-sa/4.0/ ","","","","","","","",""
"Website","https://data.ipu.org/women-ranking","","","","","","","",""
"URL","https://data.ipu.org/export-report/women-ranking/csv?date_month=11&date_year=2024","","","","","","","",""
"API URL","http://api.data.ipu.org/v1/reports/women-ranking?year=2024&month=11","","","","","","","",""
"Data dictionary","https://data.ipu.org/data-dictionary/","","","","","","","",""
"Date accessed","2024-12-07 17:12:26","","","","","","","",""
"Dataset notes","**Notes** :

*   The data in this table have been compiled by the Inter-Parliamentary Union on the basis of information provided by national parliaments.
*   Parliaments are classified according to the percentage of seats held by women in lower or single parliamentary chambers.
*   The figures correspond to the number of seats filled in parliament at the given time. The ranking may evolve over time based on updates received from national parliaments.
*   When countries appear at the bottom of the table with no ranking number, it means that data on the number of women in the single or lower parliamentary chambers are temporarily unavailable. This is usually the case when elections have taken place recently and the official results have not yet been published. Once the data on the number of women become available, the ranking is updated accordingly.
*   South Africa: The figures on the distribution of seats in the Upper House do not include the 36 special rotating delegates appointed on an ad hoc basis; the Upper House percentage is therefore calculated on the basis of the 54 permanent seats.","","","","","","","",""
"
"
"Rank","Country","Lower or single House","","","","Upper chamber","","",""
"","","Elections","Seats","Women","% W","Elections","Seats","Women","% W"
"60","El Salvador","02.2024","60","19","31.7","-","-","-","-"
"61","Suriname","05.2020","51","16","31.4","-","-","-","-"
"62","Grenada","06.2022","16","5","31.3","08.2022","13","4","30.8"
"“","Saint Kitts and Nevis","08.2022","16","5","31.3","-","-","-","-"
"64","Canada","09.2021","336","103","30.7","-","99","53","53.5"
"“","Mali","12.2020","137","42","30.7","-","-","-","-"
"66","Viet Nam","05.2021","493","151","30.6","-","-","-","-"
"67","Estonia","03.2023","101","30","29.7","-","-","-","-"
"68","Guinea","01.2022","81","24","29.6","-","-","-","-"
"“","Poland","10.2023","460","136","29.6","10.2023","100","19","19.0"
"70","Sierra Leone","06.2023","149","44","29.5","-","-","-","-"
"71","Colombia","03.2022","187","55","29.4","03.2022","105","33","31.4"
"72","Singapore","07.2020","99","29","29.3","-","-","-","-"
"73","United States of America","11.2022","432","126","29.2","11.2022","100","25","25.0"
"74","Iraq","10.2021","329","95","28.9","-","-","-","-"
"75","Trinidad and Tobago","08.2020","42","12","28.6","08.2020","32","13","40.6"
"76","Uruguay","10.2024","99","28","28.3","10.2024","31","10","32.3"
"77","Zimbabwe","08.2023","267","75","28.1","08.2023","71","35","49.3"
"78","Liechtenstein","02.2021","25","7","28.0","-","-","-","-"
"79","Malta","03.2022","79","22","27.9","-","-","-","-"
"80","Egypt","10.2020","592","164","27.7","08.2020","299","41","13.7"
"“","Lithuania","10.2024","141","39","27.7","-","-","-","-"
"82","Jamaica","09.2020","62","17","27.4","09.2020","21","8","38.1"
"83","Honduras","11.2021","128","35","27.3","-","-","-","-"
"“","Philippines","05.2022","311","85","27.3","05.2022","24","7","29.2"
"85","Montenegro","06.2023","81","22","27.2","-","-","-","-"
"86","Tajikistan","03.2020","63","17","27.0","03.2020","31","8","25.8"
"87","Barbados","01.2022","30","8","26.7","02.2022","21","8","38.1"
"88","Benin","01.2023","109","29","26.6","-","-","-","-"
"89","China","03.2023","2977","790","26.5","-","-","-","-"
"90","Djibouti","02.2023","65","17","26.2","-","-","-","-"
"91","Chad","09.2021","203","53","26.1","-","-","-","-"
"92","Czechia","10.2021","200","52","26.0","09.2024","80","17","21.3"
"93","Turkmenistan","03.2023","125","32","25.6","-","-","-","-"
"94","Gabon","10.2023","98","25","25.5","10.2023","70","17","24.3"
"95","Mongolia","06.2024","126","32","25.4","-","-","-","-"
"96","Israel","11.2022","120","30","25.0","-","-","-","-"
"“","Lesotho","10.2022","120","30","25.0","11.2022","33","8","24.2"
"98","Morocco","09.2021","395","96","24.3","10.2021","120","14","11.7"
"99","Paraguay","04.2023","80","19","23.8","04.2023","45","11","24.4"
"100","Kenya","08.2022","348","81","23.3","08.2022","67","21","31.3"
"“","Mauritania","05.2023","176","41","23.3","-","-","-","-"
"102","Ireland","02.2020","160","37","23.1","03.2020","60","24","40.0"
"103","Greece","06.2023","300","69","23.0","-","-","-","-"
"104","Georgia","10.2024","150","34","22.7","-","-","-","-"
"“","Slovakia","09.2023","150","34","22.7","-","-","-","-"
"106","Lao People's Democratic Republic","02.2021","164","36","22.0","-","-","-","-"
"107","Saint Vincent and the Grenadines","11.2020","23","5","21.7","-","-","-","-"
"108","Eswatini","09.2023","74","16","21.6","11.2023","30","14","46.7"
"109","Panama","05.2024","70","15","21.4","-","-","-","-"
"110","Kyrgyzstan","11.2021","90","19","21.1","-","-","-","-"
"“","Ukraine","07.2019","403","85","21.1","-","-","-","-"
"112","Indonesia","02.2024","580","122","21.0","-","-","-","-"
"113","Azerbaijan","09.2024","125","26","20.8","-","-","-","-"
"“","Bulgaria","10.2024","240","50","20.8","-","-","-","-"
"115","Malawi","05.2019","193","40","20.7","-","-","-","-"
"116","Seychelles","10.2020","34","7","20.6","-","-","-","-"
"117","Bahrain","11.2022","40","8","20.0","11.2022","40","10","25.0"
"“","Bangladesh","01.2024","350","70","20.0","-","-","-","-"
"“","Guatemala","06.2023","160","32","20.0","-","-","-","-"
"“","Mauritius","11.2019","70","14","20.0","-","-","-","-"
"“","Republic of Korea","04.2024","300","60","20.0","-","-","-","-"
"122","Saudi Arabia","09.2024","151","30","19.9","-","-","-","-"
"“","Türkiye","05.2023","599","119","19.9","-","-","-","-"
"124","Jordan","09.2024","138","27","19.6","10.2024","69","10","14.5"
"“","Somalia","11.2021","275","54","19.6","07.2021","54","14","25.9"
"126","Kazakhstan","03.2023","98","19","19.4","01.2023","50","12","24.0"
"“","Thailand","05.2023","500","97","19.4","06.2024","200","45","22.5"
"128","Romania","12.2020","328","63","19.2","12.2020","135","24","17.8"
"129","Bosnia and Herzegovina","10.2022","42","8","19.1","02.2023","15","2","13.3"
"130","Togo","04.2024","113","21","18.6","-","-","-","-"
"131","Burkina Faso","11.2022","71","13","18.3","-","-","-","-"
"132","Bahamas","09.2021","39","7","18.0","10.2021","16","5","31.3"
"133","Democratic People's Republic of Korea","03.2019","687","121","17.6","-","-","-","-"
"134","Brazil","10.2022","513","90","17.5","10.2022","81","14","17.3"
"135","Pakistan","02.2024","312","53","17.0","04.2024","85","16","18.8"
"136","Comoros","01.2020","24","4","16.7","-","-","-","-"
"137","Libya","06.2014","170","28","16.5","-","-","-","-"
"138","Russian Federation","09.2021","450","74","16.4","-","169","32","18.9"
"139","Madagascar","05.2024","163","26","16.0","12.2020","18","1","5.6"
"140","Japan","10.2024","465","73","15.7","07.2022","248","66","26.6"
"“","Tunisia","12.2022","153","24","15.7","04.2024","77","10","13.0"
"142","Belize","11.2020","32","5","15.6","12.2020","14","6","42.9"
"143","Micronesia (Federated States of)","03.2023","13","2","15.4","-","-","-","-"
"144","Zambia","08.2021","167","25","15.0","-","-","-","-"
"145","Congo","07.2022","151","22","14.6","08.2023","72","23","31.9"
"“","Ghana","12.2020","275","40","14.6","-","-","-","-"
"“","Hungary","04.2022","199","29","14.6","-","-","-","-"
"“","Sao Tome and Principe","09.2022","55","8","14.6","-","-","-","-"
"149","Cyprus","05.2021","56","8","14.3","-","-","-","-"
"150","India","04.2024","542","74","13.7","01.2024","234","39","16.7"
"151","Cambodia","07.2023","125","17","13.6","02.2024","62","12","19.4"
"152","Malaysia","11.2022","222","30","13.5","-","61","10","16.4"
"153","Côte d'Ivoire","03.2021","254","34","13.4","09.2023","97","24","24.7"
"154","Democratic Republic of the Congo","12.2023","477","62","13.0","04.2024","101","16","15.8"
"“","Samoa","04.2021","54","7","13.0","-","-","-","-"
"156","Marshall Islands","11.2023","33","4","12.1","-","-","-","-"
"157","Brunei Darussalam","01.2023","34","4","11.8","-","-","-","-"
"158","Central African Republic","12.2020","140","16","11.4","-","-","-","-"
"159","Kiribati","08.2024","45","5","11.1","-","-","-","-"
"“","Saint Lucia","07.2021","18","2","11.1","08.2021","11","5","45.5"
"161","Liberia","10.2023","73","8","11.0","10.2023","30","3","10.0"
"162","Nauru","09.2022","19","2","10.5","-","-","-","-"
"163","Guinea-Bissau","06.2023","102","10","9.8","-","-","-","-"
"164","Syrian Arab Republic","07.2024","250","24","9.6","-","-","-","-"
"165","Fiji","12.2022","55","5","9.1","-","-","-","-"
"166","Botswana","10.2024","69","6","8.7","-","-","-","-"
"167","Gambia (The)","04.2022","58","5","8.6","-","-","-","-"
"168","Algeria","06.2021","407","32","7.9","02.2022","170","7","4.1"
"169","Tonga","11.2021","28","2","7.1","-","-","-","-"
"170","Lebanon","05.2022","128","8","6.3","-","-","-","-"
"“","Palau","11.2020","16","1","6.3","11.2020","13","1","7.7"
"172","Solomon Islands","04.2024","50","3","6.0","-","-","-","-"
"173","Antigua and Barbuda","01.2023","18","1","5.6","02.2023","17","7","41.2"
"174","Sri Lanka","08.2020","223","12","5.4","-","-","-","-"
"175","Iran (Islamic Republic of)","03.2024","290","14","4.8","-","-","-","-"
"176","Qatar","10.2021","45","2","4.4","-","-","-","-"
"177","Bhutan","01.2024","47","2","4.3","04.2023","25","3","12.0"
"178","Nigeria","02.2023","358","14","3.9","02.2023","109","4","3.7"
"179","Maldives","04.2024","93","3","3.2","-","-","-","-"
"180","Papua New Guinea","07.2022","111","3","2.7","-","-","-","-"
"181","Vanuatu","10.2022","51","1","2.0","-","-","-","-"
"182","Oman","10.2023","90","0","0.0","11.2023","86","18","20.9"
"“","Tuvalu","01.2024","16","0","0.0","-","-","-","-"
"“","Yemen","04.2003","245","0","0.0","04.2001","90","1","1.1"
"","Eritrea","02.1994","-","-","-","-","-","-","-"
"","Haiti","08.2015","-","-","-","11.2016","-","-","-"
"","Kuwait","04.2024","-","-","-","-","-","-","-"
"","Mozambique","10.2024","250","-","-","-","-","-","-"
"","Niger","12.2020","-","-","-","-","-","-","-"
"","Venezuela (Bolivarian Republic of)","12.2015","-","-","-","-","-","-","-"
"Suspended","Afghanistan","-","-","-","-","-","-","-","-"
"Suspended","Myanmar","-","-","-","-","-","-","-","-"
"Suspended","Sudan","-","-","-","-","-","-","-","-"
