year,name,description,image_url
1469,Niccolò Machiavelli,Italian political writer,https://www.biography.com/.image/c_fill%2Ccs_srgb%2Cg_face%2Ch_300%2Cq_80%2Cw_300/MTE5NDg0MDU1MDQ5MzA3NjYz/niccolo-machiavelli-9392446-1-402.jpg
1473,Michelangelo,Italian artist,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Miguel_%C3%81ngel%2C_por_Daniele_da_Volterra_%28detalle%29.jpg/220px-Miguel_%C3%81ngel%2C_por_Daniele_da_Volterra_%28detalle%29.jpg
1483,Martin Luther,German religious leader,https://s3.amazonaws.com/cli-website/Lucas_Cranach_d.%C3%84._-_Martin_Luther_1528_Veste_Coburg_cropped.jpg
1491,Henry VIII,King of England,https://englishhistory.net/wp-content/uploads/2015/01/Henry-VIII.jpg
1501,Charles V,Holy Roman Emperor,http://vignette4.wikia.nocookie.net/world-monarchs/images/8/83/Charles_V_HRE.jpg
1516,Mary I,Queen of England,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Mary_I_by_Master_John.jpg/220px-Mary_I_by_Master_John.jpg
1527,Philip II,King of Spain,https://weaponsandwarfare.files.wordpress.com/2017/01/philip_ii_of_spain_by_antonio_moro.jpg
1533,Elizabeth I,Queen of England,https://media1.britannica.com/eb-media/85/285-004-1108CDAD.jpg
1542,Mary,Queen of Scots,http://www.edinburghmusicaltour.co.uk/images/edinburgh/2017_05_14-14_36_34.jpg
1554,Henri IV,King of France,http://study.com/cimages/multimages/16/king_henry_iv_of_france.png
1564,William Shakespeare,English playwright,https://upload.wikimedia.org/wikipedia/commons/a/a2/Shakespeare.jpg
1570,Caravaggio,Italian painter,https://upload.wikimedia.org/wikipedia/commons/7/73/Bild-Ottavio_Leoni%2C_Caravaggio.jpg
1588,Thomas Hobbes,English philosopher,http://yalebooksnetwork.org/yupblog/wp-content/uploads/sites/4/2013/04/hobbes.jpg
1599,René Descartes,French philosopher,https://upload.wikimedia.org/wikipedia/commons/7/73/Frans_Hals_-_Portret_van_Ren%C3%A9_Descartes.jpg
1600,Rembrandt,Dutch painter,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg/220px-Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg
1618,Jean-Baptiste Colbert,French politician,https://upload.wikimedia.org/wikipedia/commons/7/76/Colbert1666.jpg
1623,Blaise Pascal,French philosopher,https://bgstrialofgod.files.wordpress.com/2012/04/blase-pascal1.jpg
1638,Louis XIV,King of France,https://www.biography.com/.image/t_share/MTE1ODA0OTcxNzA1MDA5Njc3/louis-xiv-9386885-2-sized.jpg
1642,Isaac Newton,English scientist,http://www.fredsakademiet.dk/library/science/_gifs/newton.jpg
1650,William III,King of Great Britain,http://static.bbc.co.uk/history/img/ic/640/images/resources/people/william_iii_of_orange.jpg
1665,Anne,Queen of Great Britain,http://www.timothylangston.com/lg/641835/studio-of-sir-godfrey-kneller-portrait-of-queen-anne.jpg
1672,Antonio Vivaldi,Italian composer,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Vivaldi.jpg/220px-Vivaldi.jpg
1685,Johann Sebastian Bach,German composer,https://upload.wikimedia.org/wikipedia/commons/6/6a/Johann_Sebastian_Bach.jpg
1694,Voltaire,French philosopher & author,https://s-media-cache-ak0.pinimg.com/236x/af/61/18/af611830d9b2308c78ca833bf3acfd6d.jpg
1706,Benjamin Franklin,American scientist & statesman,https://www.biography.com/.image/t_share/MTE1ODA0OTcxNjMyNzg5MDA1/benjamin-franklin-9301234-2-402.jpg
1712,Jean-Jacques Rousseau,Swiss-French philosopher,http://www.iep.utm.edu/wp-content/media/rousseau.jpg
1724,Immanuel Kant,German philosopher,http://kdfrases.com/imagens/immanuel-kant.jpg
1732,George Washington,US president & general,http://s3.amazonaws.com/mtv-main-assets/files/callouts/washington-portrait-f1.jpg
1743,Johann Wolfgang von Goethe,German philosopher,https://upload.wikimedia.org/wikipedia/commons/0/0e/Goethe_%28Stieler_1828%29.jpg
1755,Wolfgang Amadeus Mozart,Austrian composer,https://s2-ssl.dmcdn.net/TVIxi.jpg
1769,Napoleon Bonaparte,Emperor of France,https://static.independent.co.uk/s3fs-public/thumbnails/image/2013/09/29/23/24-Napoleonv2.jpg
1770,Ludwig van Beethoven,German composer,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Beethoven.jpg/1200px-Beethoven.jpg
1782,Simón Bolívar,Venezuelan revolutionary,https://i0.wp.com/www.ymcacaracas.org.ve/wp-content/uploads/2016/03/Simon-Bolivar.jpg?resize=606%2C432
1791,Franz Schubert,Austrian composer,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Franz_Schubert_by_Wilhelm_August_Rieder_1875.jpg/220px-Franz_Schubert_by_Wilhelm_August_Rieder_1875.jpg
1809,Abraham Lincoln,US president,https://i.pinimg.com/736x/71/5f/a5/715fa5b3b1b2614540c48cd68dd5342c--colorized-historical-photos-abraham-lincoln.jpg
1818,Karl Marx,German philosopher,http://www.thenee.com/karl-markx.jpg
1822,Fyodor Dostoyevsky,Russian writer,https://ichef.bbci.co.uk/news/660/media/images/79150000/jpg/_79150511_dostoyevsky.jpg
1835,Mark Twain,US author,http://www.lib.berkeley.edu/give/bene-legere/bene62/MarkTwain.jpg
1844,Friedrich Nietzsche,German philosopher,https://upload.wikimedia.org/wikipedia/commons/1/1d/Portrait_of_Friedrich_Nietzsche.jpg
1858,Sigmund Freud,Austrian psychoanalyst,http://cdn.history.com/sites/2/2015/04/hith-10-things-sigmund-freud-501585595-E.jpeg
1869,Mahatma Gandhi,Indian leader,http://www.elparana.com/wp-content/uploads/2016/10/gandhi.jpg
1878,Joseph Stalin,Soviet leader,https://static.giantbomb.com/uploads/scale_small/3/32849/2163825-jstalin.jpg
1889,Adolf Hitler,German leader,http://cdn.images.express.co.uk/img/dynamic/20/590x/secondary/Adolf-Hitler-789141.jpg
1890,Mao Zedong,Chinese leader,http://www.biographyonline.net/wp-content/uploads/2014/05/chairman-mao3.jpg
